Thứ tự,Tên công ty,Địa chỉ,Tỉnh,Loại hình,Điện thoại,Email,Mã số thuế,Năm thành lập,Thị trường,Chứng chỉ,Trạng thái,Website,,,,,,,,,,,,,
173,Đức Thắng - Công Ty Cổ Phần Khai Thác & Chế Biến Khoáng Sản Đức Thắng,"33 Ngõ Bà Triệu, Q. Hoàn Kiếm, ",Hà Nội,Khoáng Sản,(024) 38474966,,,,,,"Không cam kết về độ chính xác thông tin này,33 Ngõ Bà Triệu, Q. Hoàn Kiếm, ,(024) 38474966                                ",https://www.yellowpages.vn/lgs/1318323/duc-thang-cong-ty-co-phan-khai-thac---che-bien-khoang-san-duc-thang.html,,,,,,,,,,,,,
174,Kỷ Tâm Nông Sơn - Công Ty Cổ Phần Kỷ Tâm Nông Sơn,"H. Nông Sơn,Thôn 3, X. Quế Trung, ",Quảng Nam,Khoáng Sản,(0235) 3505034,,,,,,"Không cam kết về độ chính xác thông tin này,H. Nông Sơn,Thôn 3, X. Quế Trung, ,(0235) 3505034                                 ",https://www.yellowpages.vn/lgs/1137294/ky-tam-nong-son-cong-ty-co-phan-ky-tam-nong-son.html,,,,,,,,,,,,,
175,Deng2minerals,"Box 5678, Đường Hai Cinema, Juba, ",Juba,Thương mại,(+211) 924 719 799,abduldeng31@gmail.com,12213565888,2012,"Toàn quốc, Quốc tế",,"Đã xác minh: 5/12/2020   ,Box 5678, Đường Hai Cinema, Juba, ,(+211) 924 719 799                             ",http://deng2minerals.com,,,,,,,,,,,,,
176,Công Ty Cổ Phần Xây Dựng & Đầu Tư Phát Triển Hạ Tầng Đô Thị Hà Nội,"28B/93 Hoàng Văn Thái, P. Khương Trung, Q. Thanh Xuân, ",Hà Nội,Khoáng Sản,(024) 35658245,,,,,,"Không cam kết về độ chính xác thông tin này,28B/93 Hoàng Văn Thái, P. Khương Trung, Q. Thanh Xuân, ,(024) 35658245                                ",https://www.yellowpages.vn/lgs/1437318/cong-ty-co-phan-xay-dung---dau-tu-phat-trien-ha-tang-do-thi-ha-noi.html,,,,,,,,,,,,,
177,Huong Hai Group,"Ô 2, Khu Biệt Thự Cao cấp, Đường Hạ Long, Phường Bãi Cháy, Thành Phố Hạ Long, ",Quảng Ninh,Khoáng Sản,(0203) 3845042,sales@vietnamlime.com,,,,,"Không cam kết về độ chính xác thông tin này,Ô 2, Khu Biệt Thự Cao cấp, Đường Hạ Long, Phường Bãi Cháy, Thành Phố Hạ Long, ,(0203) 3845042                                 ",http://vietnamlime.com,,,,,,,,,,,,,
178,Công Ty Cổ Phần Vận Tải Biển Vạn An,"129 Đường Số 59, P. 14, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),Thương mại và dịch vụ,(028) 38117557,ops@vanangroup.com,312023732,2002,"Toàn quốc, Quốc tế",,"Không cam kết về độ chính xác thông tin này,129 Đường Số 59, P. 14, Q. Gò Vấp, ,(028) 38117557                                ",http://vananshipping.com,,,,,,,,,,,,,
179,Công Ty Đá Hoa Xuất Khẩu,"Đông Thọ, ",Thanh Hóa,Khoáng Sản,(0237) 3852647,,,,,,"Không cam kết về độ chính xác thông tin này,Đông Thọ, ,(0237) 3852647                                 ",https://www.yellowpages.vn/lgs/735105/cong-ty-da-hoa-xuat-khau.html,,,,,,,,,,,,,
180,Bột Đá Tân Trường Hưng - Công Ty TNHH Tân Trường Hưng,"Khu Công Nghiệp Thi Sơn, Kim Bảng, ",Hà Nam,Nhà sản xuất,Hotline: 0978 206 887 - 0904 363 893,kd.tantruonghung@gmail.com,700261631,2008,"Toàn quốc, Quốc tế",,"Đảm bảo chính xác,Khu Công Nghiệp Thi Sơn, Kim Bảng, ,Hotline: 0978 206 887 - 0904 363 893    ,",http://botdavoi.com,,,,,,,,,,,,,
181,Quan Trắc Môi Trường - Công Ty TNHH HELPLINES,"Xóm 5 Tân Khai, P. Vĩnh Hưng, Q. Hoàng Mai, ",Hà Nội,"Nhà sản xuất, Thương mại dịch vụ","(024) 85898936, 0912 004 648                  ",hse.vn@hotmail.com,108939525,2014,Toàn quốc,"
ISO 14001, OHSAS 18001-2007","Đảm bảo chính xác,Xóm 5 Tân Khai, P. Vĩnh Hưng, Q. Hoàng Mai, ,(024) 85898936, 0912 004 648                  ,",http://services.bizz.vn,,,,,,,,,,,,,
182,Vĩnh Toàn - Công Ty TNHH Một Thành Viên Vĩnh Toàn,"Khối 7, TT. Khâm Đức, H. Phước Sơn, ",Quảng Nam,Khoáng Sản,(0235) 3881555,,,,,,"Không cam kết về độ chính xác thông tin này,Khối 7, TT. Khâm Đức, H. Phước Sơn, ,(0235) 3881555                                 ",https://www.yellowpages.vn/lgs/1137810/vinh-toan-cong-ty-tnhh-mot-thanh-vien-vinh-toan.html,,,,,,,,,,,,,
183,Văn Phòng Đại Diện - Công Ty Kayfour Development,"Tầng 1, 24 Lê Lợi, P. Bến Nghé, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38234644,yenle@viettel.com,,,,,"Không cam kết về độ chính xác thông tin này,Tầng 1, 24 Lê Lợi, P. Bến Nghé, Q. 1, ,(028) 38234644                                ",https://www.yellowpages.vn/lgs/1017423/van-phong-dai-dien-cong-ty-kayfour-development.html,,,,,,,,,,,,,
184,Công Ty Cổ Phần Kỹ Thuật Thương Mại Thiên Hỏa Long,"Số 10, Ngách 2, Ngõ 121 Phố Chùa Láng, Q. Đống Đa",Hà Nội,Khoáng Sản,(024) 62754763,thienhoalonghn@gmail.com,,,,,"Không cam kết về độ chính xác thông tin này,Số 10, Ngách 2, Ngõ 121 Phố Chùa Láng, Q. Đống Đa,Xưởng Sản Xuất: Biên Giang, Hà Đông, ,(024) 62754763                                ",http://www.thienhoalong.vn,,,,,,,,,,,,,
185,Daeshin - Vpđd Công ty TNHH Daeshin,"Phòng 308, Tháp V, 649 Kim Mã, Q. Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37665572,trungnm@gmail.com,,,,,"Không cam kết về độ chính xác thông tin này,Phòng 308, Tháp V, 649 Kim Mã, Q. Ba Đình, ,(024) 37665572                                ",https://www.yellowpages.vn/lgs/1308696/daeshin-vpdd-cong-ty-tnhh-daeshin.html,,,,,,,,,,,,,
186,Mai Hồng - Cty Cổ Phần Xây Dựng & Thương Mại,"Lô 43, Khu Dân Cư Số 1 Nguyễn Huy Tưởng,P. Hòa An, Q. Cẩm Lệ, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3765254,,,,,,"Không cam kết về độ chính xác thông tin này,Lô 43, Khu Dân Cư Số 1 Nguyễn Huy Tưởng,P. Hòa An, Q. Cẩm Lệ, ,(0236) 3765254                                 ",https://www.yellowpages.vn/lgs/1036221/mai-hong-cty-co-phan-xay-dung---thuong-mai.html,,,,,,,,,,,,,
187,Công Ty TNHH Alliance Minerals - VPĐD,"NV-B55 khu ĐTM Trung Hòa Nhân Chính,X. Nhân Chính, Q. Thanh Xuân, ",Hà Nội,Khoáng Sản,(024) 35568761,hanoioffice@allianceminerals.com,,,,,"Không cam kết về độ chính xác thông tin này,NV-B55 khu ĐTM Trung Hòa Nhân Chính,X. Nhân Chính, Q. Thanh Xuân, ,(024) 35568761                                ",https://www.yellowpages.vn/lgs/1295493/cong-ty-tnhh-alliance-minerals-vpdd.html,,,,,,,,,,,,,
188,Địa Hoàng Phú - Công Ty Cổ Phần Khoáng Sản Kim Loại Công Nghiệp Địa Hoàng Phú,"30B Đoàn Thị Điểm, P. Quốc Tử Giám, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 62754138,diahoangphu2@gmail.com,,,,,"Hơn 2 năm chưa xác minh được,30B Đoàn Thị Điểm, P. Quốc Tử Giám, Q. Đống Đa, ,(024) 62754138                                ",http://www.diahoangphu.com.vn,,,,,,,,,,,,,
189,Công Ty TNHH Sản Xuất Ngọn Lửa Việt,"Số 2 Nguyễn Sỹ Sách,  P.15,  Q.Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,(028) 38625021,ngonluaviet.ltd@gmail.com,31799846,2012,Toàn quốc,TCVN,"Hơn 2 năm chưa xác minh được,Số 2 Nguyễn Sỹ Sách,  P.15,  Q.Tân Bình, ,(028) 38625021                                ",https://www.yellowpages.vn/lgs/1187740032/cong-ty-tnhh-san-xuat-ngon-lua-viet.html,,,,,,,,,,,,,
190,Khoáng Sản Sơn Hà - Công Ty TNHH Đầu Tư Phát Triển Quốc Tế Sơn Hà,"KCN Kiện Khê, TT. Kiện Khê, H. Thanh Liêm, ",Hà Nam,Nhà sản xuất,585678998,kdth.5@shcgroup.vn,106124693,2015,Toàn quốc,,"Đã xác minh: 7/12/2022   ,KCN Kiện Khê, TT. Kiện Khê, H. Thanh Liêm, ,0585678998                              ",https://www.yellowpages.vn/lgs/1187953884/khoang-san-son-ha-cong-ty-tnhh-dau-tu-phat-trien-quoc-te-son-ha.html,,,,,,,,,,,,,
191,Công Ty Cổ Phần Thương Mại Và Xuất Nhập Khẩu Trang Linh,"Phòng 108 – B4, Trung Tự, Đống Đa, ",Hà Nội,Thương mại,(024) 35543757,bmthn@hn.vnn.vn,101782723,2014,Toàn quốc,,"Đã xác minh: 14/9/2019   ,Phòng 108 – B4, Trung Tự, Đống Đa, ,(024) 35543757                                ,: tổ 6, cụm Nam Thăng Long, P. Nhân Chính, Q. Thanh Xuân, Hà Nội. (19/68 phố Ngụy Như Kon Tum, Q. Thanh Xuân, Hà Nội)",http://www.tranglinh-jsc.com,,,,,,,,,,,,,
192,Công Ty CP Đầu Tư Xuất Nhập Khẩu Khoáng Sản Phú Gia Phát,"327 Quốc Lộ 20, Thôn Ánh Mai 2, Xã Lộc Châu, TP. Bảo Lộc, ",Lâm Đồng,Nhà sản xuất,(0263) 3722333,phugiaphat@gmail.com,5800881684,2013,Miền Nam,,"Đã xác minh: 17/9/2019   ,327 Quốc Lộ 20, Thôn Ánh Mai 2, Xã Lộc Châu, TP. Bảo Lộc, ,(0263) 3722333                                 ",http://phugiaphat.com.vn,,,,,,,,,,,,,
193,Triệu Đại Minh - Công Ty TNHH Thương Mại Dịch Vụ Triệu Đại Minh,"27/4A Bà Lê Chân, P. Tân Định, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38203066,,,,,,"Không cam kết về độ chính xác thông tin này,27/4A Bà Lê Chân, P. Tân Định, Q. 1, ,(028) 38203066                                ",https://www.yellowpages.vn/lgs/984153/trieu-dai-minh-cong-ty-tnhh-thuong-mai-dich-vu-trieu-dai-minh.html,,,,,,,,,,,,,
194,Công Ty Kiện Khê Đá Vôi,"TT. Kiện Khê, H. Thanh Liêm, ",Hà Nam,Khoáng Sản,(0226) 3851757,,,,,,"Không cam kết về độ chính xác thông tin này,TT. Kiện Khê, H. Thanh Liêm, ,(0226) 3851757                                 ",https://www.yellowpages.vn/lgs/728469/cong-ty-kien-khe-da-voi.html,,,,,,,,,,,,,
195,Hà Thành - Công Ty TNHH Thương Mại & Chế Biến Khoáng Sản Hà Thành,"175 Kim Ngưu, Q. Hai Bà Trưng, ",Hà Nội,Khoáng Sản,(024) 39875796,,,,,,"Không cam kết về độ chính xác thông tin này,175 Kim Ngưu, Q. Hai Bà Trưng, ,(024) 39875796                                ",https://www.yellowpages.vn/lgs/1317009/ha-thanh-cong-ty-tnhh-thuong-mai---che-bien-khoang-san-ha-thanh.html,,,,,,,,,,,,,
196,Quang Tiến - Công Ty TNHH Một Thành Viên Quang Tiến,"Khu 2, TT. ái Nghĩa, H. Đại Lộc, ",Quảng Nam,Khoáng Sản,(0235) 3865678,,,,,,"Không cam kết về độ chính xác thông tin này,Khu 2, TT. ái Nghĩa, H. Đại Lộc, ,(0235) 3865678                                 ",https://www.yellowpages.vn/lgs/1137819/quang-tien-cong-ty-tnhh-mot-thanh-vien-quang-tien.html,,,,,,,,,,,,,
197,Tiến Thành Đạt - Công Ty Cổ Phần Thương Mại Tiến Thành Đạt,"4 Nguyên Hồng, Ngõ 45/10, P. Láng Hạ, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 37717437,,,,,,"Không cam kết về độ chính xác thông tin này,4 Nguyên Hồng, Ngõ 45/10, P. Láng Hạ, Q. Đống Đa, ,(024) 37717437                                ",https://www.yellowpages.vn/lgs/1301040/tien-thanh-dat-cong-ty-co-phan-thuong-mai-tien-thanh-dat.html,,,,,,,,,,,,,
198,Than Mạnh Thành Công - Công Ty TNHH MTV Mạnh Thành Công,"Số D8, Tổ 5, Khu Phố 4, Phường Tân Hiệp, Biên Hòa, ",Đồng Nai,Thương mại,Hotline: 0777 071 666,manhthanhcong@gmail.com,3602095163,2009,Toàn quốc,,"Đảm bảo chính xác,Số D8, Tổ 5, Khu Phố 4, Phường Tân Hiệp, Biên Hòa, ,Hotline: 0777 071 666                   , 139 Tổ 9, Xã Phước Tân, TP. Biên Hòa, Đồng Nai,",http://manhthanhcong.com,,,,,,,,,,,,,
199,Than Đá Hùng Mạnh - Công Ty TNHH Sản Xuất Và Thương Mại Hùng Mạnh,"Khu 4, Thị Trấn Kẻ Sặt, Huyện Bình Giang, ",Hải Dương,"Nhà sản xuất, Thương mại",906725999,thanhungmanh76@gmail.com,801349226,2010,Toàn quốc,,"Đảm bảo chính xác,Khu 4, Thị Trấn Kẻ Sặt, Huyện Bình Giang, ,0906725999                              ,",http://thanhungmanh.com,,,,,,,,,,,,,
200,Phan Gia Miền Trung - Công Ty Cổ Phần Phan Gia Miền Trung,"Khối 4, TT. Vĩnh Điện,H. Điện Bàn, ",Quảng Nam,Khoáng Sản,(0235) 3867515,,,,,,"Không cam kết về độ chính xác thông tin này,Khối 4, TT. Vĩnh Điện,H. Điện Bàn, ,(0235) 3867515                                 ",https://www.yellowpages.vn/lgs/1137300/phan-gia-mien-trung-cong-ty-co-phan-phan-gia-mien-trung.html,,,,,,,,,,,,,
201,Công Ty Cổ Phần Kỹ Nghệ Khoáng Sản Quảng Nam,"Cụm Công nghiệp Hà Lam - Chợ Được,H. Thăng Bình, ",Quảng Nam,Nhà sản xuất,(0235) 3665022,minco@dng.vnn.vn,4000100139,1993,"Toàn quốc, Xuất khẩu",ISO 9001:2008,"Không cam kết về độ chính xác thông tin này,Cụm Công nghiệp Hà Lam - Chợ Được,H. Thăng Bình, ,(0235) 3665022                                 ",http://www.minco.com.vn,,,,,,,,,,,,,
202,Tân Phú - Công Ty TNHH Tân Phú,"65 Hà Huy Tập, Q. Thanh Khê, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3648790,,,,,,"Không cam kết về độ chính xác thông tin này,65 Hà Huy Tập, Q. Thanh Khê, ,(0236) 3648790                                 ",https://www.yellowpages.vn/lgs/1035330/tan-phu-cong-ty-tnhh-tan-phu.html,,,,,,,,,,,,,
203,4 - Công Ty Cổ Phần Phát Triển Khoáng Sản 4,"Xã Mỹ Thượng, Huyện Hưng Lộc, ",Nghệ An,Khoáng Sản,(0238) 3857213,,,,,,"Không cam kết về độ chính xác thông tin này,Xã Mỹ Thượng, Huyện Hưng Lộc, ,(0238) 3857213                                 ",https://www.yellowpages.vn/lgs/1468422/4-cong-ty-co-phan-phat-trien-khoang-san-4.html,,,,,,,,,,,,,
204,Công Ty Cổ Phần Tập Đoàn Khoáng Sản Và Thương Mại VQB,"Tầng 9, Tòa Nhà Văn Phòng 24T1, Số 1 Nguyễn Huy Tưởng, Q. Thanh Xuân, ",Hà Nội,Nhà sản xuất,(024) 3734 6333,vqb@vqbgroup.com,101796324,2005,"Toàn quốc, Xuất khẩu",,"Đã xác minh: 2/1/2020    ,Tầng 9, Tòa Nhà Văn Phòng 24T1, Số 1 Nguyễn Huy Tưởng, Q. Thanh Xuân, ,(024) 3734 6333                               ",http://vqbgroup.com,,,,,,,,,,,,,
205,Công Ty Đá Thạch Anh Trắng Giá Tốt,"Tổ 12, P. Quyết Thắng, TP. Sơn La, ",Sơn La,Khoáng Sản,0816 555 676(Zalo),damquanglan1957@gmail.com,,,,,"Đã xác minh: 25/12/2019  ,Tổ 12, P. Quyết Thắng, TP. Sơn La, ,0816 555 676(Zalo) , 0919 401 462    ",https://www.yellowpages.vn/lgs/1187885823/cong-ty-da-thach-anh-trang-gia-tot.html,,,,,,,,,,,,,
206,Công Ty TNHH Đầu Tư Và Thương Mại Hưng Thịnh An,"Số 10 Ngõ 77/10 Bùi Xương Trạch, P. Khương Đình, Q. Thanh Xuân ",Hà Nội,Nhà sản xuất,(024) 35593057,kt.hungthinhan@gmail.com,104511249,2010,Toàn quốc,,"Đã xác minh: 10/10/2019  ,Số 10 Ngõ 77/10 Bùi Xương Trạch, P. Khương Đình, Q. Thanh Xuân ,(024) 35593057                                ",http://www.hungthinhan.com,,,,,,,,,,,,,
207,Công Ty Cổ Phần Cát Phước Bình,"306, ấp 1, Tổ 8, X. Phước Bình, H. Long Thành, ",Đồng Nai,Nhà sản xuất,907230072,dinhsuu_ctcpcpb@yahoo.com.vn,3602653160,2011,"Miền Nam, Nội tỉnh, Lân cận",,"Không cam kết về độ chính xác thông tin này,306, ấp 1, Tổ 8, X. Phước Bình, H. Long Thành, ,0907230072                              ",https://www.yellowpages.vn/lgs/1187726937/cong-ty-co-phan-cat-phuoc-binh.html,,,,,,,,,,,,,
208,TKV - Công Ty Cổ Phần Địa ốc Khoáng Sản TKV,"562 Nguyễn Văn Cừ, Q. Long Biên, ",Hà Nội,Khoáng Sản,(024) 38770010,vimico@hn.vnn.vn,,,,,"Không cam kết về độ chính xác thông tin này,562 Nguyễn Văn Cừ, Q. Long Biên, ,(024) 38770010                                ",https://www.yellowpages.vn/lgs/740175/tkv-cong-ty-co-phan-dia-oc-khoang-san-tkv.html,,,,,,,,,,,,,
209,Than Nam Hải - Công Ty TNHH Chế Biến Và Kinh Doanh Than Nam Hải,Văn Phòng,Tp. Hồ Chí Minh (TPHCM),Thương mại,0909 029 898,thannamhai@yahoo.com,305051834,2007,Miền Nam,,"Đảm bảo chính xác,: 652/24C Cộng Hòa, P. 13, Q. Tân Bình, ,0909 029 898                            ,: Số 7, Đường Liên Khu 4-5, P. Bình Hưng Hoà B , Q. Bình Tân, Tp. HCM,",http://thannamhai.com,,,,,,,,,,,,,
210,Khoáng Sản Tấn Phương Nam - Công Ty TNHH Thương Mại Và Dịch Vụ Vận Tải Tấn Phương Nam,"Thôn Nhân Lý, Xã Cao Sơn, Huyện Thủy Nguyên, ",Tp. Hải Phòng,Nhà sản xuất,"0934 363 351, 0904 366 198              ",tanphuongnamxdhp@gmail.com,200820962,2008,Toàn quốc,,"Đảm bảo chính xác,Thôn Nhân Lý, Xã Cao Sơn, Huyện Thủy Nguyên, ,0934 363 351, 0904 366 198              ,",http://tanphuongnam.vn,,,,,,,,,,,,,
211,Tân Quang Cường - Công Ty TNHH Thương Mại,"343/5S Tô Hiến Thành, P. 12, Q. 10, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38628615,,,,,,"Không cam kết về độ chính xác thông tin này,343/5S Tô Hiến Thành, P. 12, Q. 10, ,(028) 38628615                                ",https://www.yellowpages.vn/lgs/1010295/tan-quang-cuong-cong-ty-tnhh-thuong-mai.html,,,,,,,,,,,,,
212,Công Ty Cổ Phần Thương Mại - Xây Dựng Đầu Tư Địa ốc Đất Thủ,"1/88 Đại Lộ Bình Dương, Thuận Giao, Thuận An, ",Bình Dương,Khoáng Sản,(0274) 6555568,trungtamnhadatvietnam@gmail.com,,,,,"Không cam kết về độ chính xác thông tin này,1/88 Đại Lộ Bình Dương, Thuận Giao, Thuận An, ,(0274) 6555568                                 ",https://www.yellowpages.vn/lgs/1187683293/cong-ty-co-phan-thuong-mai-xay-dung-dau-tu-dia-oc-dat-thu.html,,,,,,,,,,,,,
213,Anh Quân - Công Ty TNHH Anh Quân,"256 P. An Mỹ,Phan Chu Trinh, Tp. Tam Kỳ, ",Quảng Nam,Khoáng Sản,(0235) 3812323,,,,,,"Không cam kết về độ chính xác thông tin này,256 P. An Mỹ,Phan Chu Trinh, Tp. Tam Kỳ, ,(0235) 3812323                                 ",https://www.yellowpages.vn/lgs/1137648/anh-quan-cong-ty-tnhh-anh-quan.html,,,,,,,,,,,,,
214,Việt Ninh - Công Ty TNHH Đầu Tư Kỹ Thuật & Thương Mại Xuất Nhập Khẩu Việt Ninh,"Phòng 501, Tòa Nhà L 01Khu Tái Định Cư,P. Dịch Vọng, Q. Cầu Giấy, ",Hà Nội,Khoáng Sản,(024) 62811969,,,,,,"Hơn 2 năm chưa xác minh được,Phòng 501, Tòa Nhà L 01Khu Tái Định Cư,P. Dịch Vọng, Q. Cầu Giấy, ,(024) 62811969                                ",http://www.vietninh.vn,,,,,,,,,,,,,
215,Công Ty TNHH Địa Chất Quảng Nam,"Lô B3-18, Khu Tập Thể Địa Chất, P. An Xuân,Tp. Tam Kỳ, ",Quảng Nam,Khoáng Sản,(0235) 3824391,,,,,,"Hơn 2 năm chưa xác minh được,Lô B3-18, Khu Tập Thể Địa Chất, P. An Xuân,Tp. Tam Kỳ, ,(0235) 3824391                                 ",https://www.yellowpages.vn/lgs/1138071/cong-ty-tnhh-dia-chat-quang-nam.html,,,,,,,,,,,,,
216,Công Ty TNHH Một Thành Viên Khai Thác Chế Biến Xuất Khẩu Khoáng Sản Khánh Hòa,"248 Thống Nhất, P. Tân Lập, Tp. Nha Trang, ",Khánh Hòa,Khoáng Sản,(0258) 3821282,minexcokh@dng.vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,248 Thống Nhất, P. Tân Lập, Tp. Nha Trang, ,(0258) 3821282                                 ",https://www.yellowpages.vn/lgs/704622/cong-ty-tnhh-mot-thanh-vien-khai-thac-che-bien-xuat-khau-khoang-san-khanh-hoa.html,,,,,,,,,,,,,
217,Thăng Long - Công Ty Cổ Phần Đầu Tư Khoáng Sản & Thủy Điện Thăng Long,"Phòng 611, Khu Công Nghiệp Mỹ Đình, CT6 H. Từ Liêm, ",Hà Nội,Khoáng Sản,(024) 37875373,thanglongjsc2007@vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,Phòng 611, Khu Công Nghiệp Mỹ Đình, CT6 H. Từ Liêm, ,(024) 37875373                                ",https://www.yellowpages.vn/lgs/1436820/thang-long-cong-ty-co-phan-dau-tu-khoang-san---thuy-dien-thang-long.html,,,,,,,,,,,,,
218,Công Ty Cổ Phần Mông Sơn,"Tổ 18, Thị Trấn Yên Bình, H. Yên Bình, ",Yên Bái,Nhà sản xuất,(0216) 3885647,sales@mongson.vn,5200278146,2007,"Toàn quốc, Quốc tế","
ISO 9001:2008","Đã xác minh: 26/8/2019   ,Tổ 18, Thị Trấn Yên Bình, H. Yên Bình, ,(0216) 3885647                                 ",http://mongson.vn,,,,,,,,,,,,,
219,Bột Đá K.H.V - Công Ty Cổ Phần K.H.V,"Số 23 Nguyễn Trãi, P. Máy Tơ, Q. Ngô Quyền, Tp. Hải Phòng",Tp. Hải Phòng,"Nhà sản xuất, Thương mại",(0225) 3652116,marketing@khv.com.vn,200829355,,Toàn quốc,,"Đã xác minh: 7/4/2020    ,Số 23 Nguyễn Trãi, P. Máy Tơ, Q. Ngô Quyền, Tp. Hải Phòng,Nhà Máy: Thị Trấn Minh Đức, H. Thủy Nguyên, ,(0225) 3652116                                 ,:,TT. Minh Đức, H. Thủy Nguyên, ",http://www.khv.com.vn,,,,,,,,,,,,,
220,Công Ty TNHH Sản Xuất Và Thương Mại Tâm Toàn Phát,"Đội 8, Thôn Vĩnh Trung, X. Đại áng, H. Thanh Trì, ",Hà Nội,"Nhà sản xuất, Nhà phân phối",973279258,duykhoadkaa@gmail.com,109925250,2020,Toàn quốc,,"Đã xác minh: 15/3/2022   ,Đội 8, Thôn Vĩnh Trung, X. Đại áng, H. Thanh Trì, ,0973279258                              ",https://www.yellowpages.vn/lgs/1187951202/cong-ty-tnhh-san-xuat-va-thuong-mai-tam-toan-phat.html,,,,,,,,,,,,,
221,Tanzania Minerals Evaluation Consultants Co.Ltd,"Tầng trệt, Tòa nhà Josam House, Tòa B, Phòng B9, P.O.BOX 71695, ",Dar-es-Salaam,Dịch vụ,+25 575 436 2901,rodrick@tzgeologists.co.tz,,2016,"Châu Á, Châu Âu, Châu Phi",,"Đã xác minh: 18/7/2019   ,Tầng trệt, Tòa nhà Josam House, Tòa B, Phòng B9, P.O.BOX 71695, ,+25 575 436 2901                        ",http://tzgeologists.co.tz,,,,,,,,,,,,,
222,Công Ty Cổ Phần Khoáng Sản và Xây Dựng Phú Thịnh,"Số 67 Phố Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, ",Hà Nội,Nhà sản xuất,(024) 7252540,phuthinh.seles@hotmail.com,104279885,2009,"Toàn quốc, Quốc tế",,"Không cam kết về độ chính xác thông tin này,Số 67 Phố Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, ,(024) 7252540                                 ",http://phuthinhstone.com.vn,,,,,,,,,,,,,
223,Bột Cao Lanh Sam Com - Công Ty TNHH Một Thành Viên Sam Com,"Thửa Đất Số 595, Tờ Bản Đồ Số 21, Khu Phố Tân Bình, P. Tân Hiệp, TX. Tân Uyên, ",Bình Dương,Nhà sản xuất,"(0274) 3632153, 0903991741                     ",ctysamcom@gmail.com,3702342722,2016,"Toàn quốc, Quốc tế",,"Đảm bảo chính xác,Thửa Đất Số 595, Tờ Bản Đồ Số 21, Khu Phố Tân Bình, P. Tân Hiệp, TX. Tân Uyên, ,(0274) 3632153, 0903991741                     ,",http://caolanhvinhhungphu.com,,,,,,,,,,,,,
224,Khoáng Sản Trường Hải - Công Ty CP TM Tư Vấn Bất Động Sản Trường Hải,"Số 90 Nguyễn Thị Thập, P. Tân Hưng, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,"(028) 62983894, Hotline: 0904338338           ",salestruonghai01@gmail.com,312399622,2013,Toàn quốc,,"Đảm bảo chính xác,Số 90 Nguyễn Thị Thập, P. Tân Hưng, Q. 7, ,(028) 62983894, Hotline: 0904338338           ,Là nhà phân phối chính thức và độc quyền của tập đoàn K/M (Malaysia).",http://vnkaolin.com,,,,,,,,,,,,,
225,Khoáng Sản Hải Phòng - Công Ty CP Khoáng Sản Hải Phòng,"KCN An Tràng, TT.  Trường Sơn, H. An Lão, ",Tp. Hải Phòng,Nhà sản xuất,(0225) 3891268,khoangsanhaiphong@gmail.com,200460974,2002,"Toàn quốc, Xuất khẩu",,"Đảm bảo chính xác,KCN An Tràng, TT.  Trường Sơn, H. An Lão, ,(0225) 3891268                                 ",http://khoangsanhaiphong.com,,,,,,,,,,,,,
226,Nhật - Công Ty TNHH Một Thành Viên Nhật,"Thôn Bà Rén, X. Quế Xuân 1,H. Quế Sơn, ",Quảng Nam,Khoáng Sản,(0235) 3886581,,,,,,"Không cam kết về độ chính xác thông tin này,Thôn Bà Rén, X. Quế Xuân 1,H. Quế Sơn, ,(0235) 3886581                                 ",https://www.yellowpages.vn/lgs/1137876/nhat-cong-ty-tnhh-mot-thanh-vien-nhat.html,,,,,,,,,,,,,
227,Teparak - Công Ty TNHH Quốc Tế Teparak,"4/12 Dốc Bác Cổ, Q. Hoàn Kiếm, ",Hà Nội,Khoáng Sản,(024) 38251156,,,,,,"Không cam kết về độ chính xác thông tin này,4/12 Dốc Bác Cổ, Q. Hoàn Kiếm, ,(024) 38251156                                ",https://www.yellowpages.vn/lgs/735957/teparak-cong-ty-tnhh-quoc-te-teparak.html,,,,,,,,,,,,,
